Chapter,Verse,Meaning,label,clean_teks
78,1,Tentang apakah mereka saling bertanya-tanya?,lainnya,apakah saling tanya tanya
78,2,Tentang berita yang besar (hari berbangkit),kiamat,berita besar hari bangkit
78,3,yang dalam hal itu mereka berselisih.,lainnya,dalam itu selisih
78,4,"Sekali-kali tidak; kelak mereka akan mengetahui,",lainnya,sekali kali kelak akan tahu
78,5,kemudian sekali-kali tidak; kelak mereka mengetahui.,lainnya,kemudian sekali kali kelak tahu
78,6,"Bukankah Kami telah menjadikan bumi itu sebagai hamparan?,",lainnya,bukankah telah jadi bumi bagai hampar
78,7,"dan gunung-gunung sebagai pasak?,",lainnya,gunung gunung bagai pasak
78,8,"dan Kami jadikan kamu berpasang-pasangan,",lainnya,kami jadi kamu pasang pasang
78,9,"dan Kami jadikan tidurmu untuk istirahat,",lainnya,kami jadi tidur istirahat
78,10,"dan Kami jadikan malam sebagai pakaian,",lainnya,kami jadi malam bagai pakai
78,11,"dan Kami jadikan siang untuk mencari penghidupan,",lainnya,kami jadi siang cari hidup
78,12,"dan Kami bina di atas kamu tujuh buah (langit) yang kokoh,",lainnya,kami bina atas kamu tujuh buah langit kokoh
78,13,"dan Kami jadikan pelita yang amat terang (matahari),",lainnya,kami jadi pelita amat terang matahari
78,14,"dan Kami turunkan dari awan air yang banyak tercurah,",lainnya,kami turun awan air banyak curah
78,15,"supaya Kami tumbuhkan dengan air itu biji-bijian dan tumbuh-tumbuhan,",surga,kami tumbuh air biji biji tumbuh tumbuh
78,16,dan kebun-kebun yang lebat?,surga,kebun kebun lebat
78,17,"Sesungguhnya Hari Keputusan adalah suatu waktu yang ditetapkan,",kiamat,sungguh hari putus suatu waktu tetap
78,18,"yaitu hari (yang pada waktu itu) ditiup sangkakala lalu kamu datang berkelompok-kelompok,",kiamat,hari pada waktu tiup sangkakala lalu kamu datang kelompok kelompok
78,19,"dan dibukalah langit, maka terdapatlah beberapa pintu,",kiamat,buka langit dapat beberapa pintu
78,20,dan dijalankanlah gunung-gunung maka menjadi fatamorgana.,lainnya,jalan gunung gunung jadi fatamorgana
78,21,"Sesungguhnya neraka Jahannam itu (padanya) ada tempat pengintai,",neraka,sungguh neraka jahannam pada tempat intai
78,22,"menjadi tempat kembali bagi orang-orang yang melampaui batas,",neraka,jadi tempat bagi orang orang lampau batas
78,23,"mereka tinggal di dalamnya berabad-abad lamanya,",neraka,tinggal dalam abad abad lama
78,24,"mereka tidak merasakan kesejukan di dalamnya dan tidak (pula mendapat) minuman,",neraka,tidak rasa sejuk dalam tidak dapat minum
78,25,"selain air yang mendidih dan nanah,",neraka,air didih nanah
78,26,sebagai pambalasan yang setimpal.,neraka,bagai pambalasan timpal
78,27,"Sesungguhnya mereka tidak berharap (takut) kepada hisab,",hisab,sungguh tidak harap takut hisab
78,28,dan mereka mendustakan ayat-ayat Kami dengan sesungguh-sungguhnya.,lainnya,mereka dusta ayat ayat dengan sungguh sungguh
78,29,Dan segala sesuatu telah Kami catat dalam suatu kitab.,hisab,segala telah catat suatu kitab
78,30,Karena itu rasakanlah. Dan Kami sekali-kali tidak akan menambah kepada kamu selain daripada azab.,neraka,itu rasa kami sekali kali akan tambah kamu daripada azab
78,31,"Sesungguhnya orang-orang yang bertakwa mendapat kemenangan,",surga,sungguh orang orang takwa menang
78,32,"(yaitu) kebun-kebun dan buah anggur,",surga,kebun kebun buah anggur
78,33,"dan gadis-gadis remaja yang sebaya,",surga,gadis gadis remaja baya
78,34,dan gelas-gelas yang penuh (berisi minuman).,surga,gelas gelas penuh isi minum
78,35,Di dalamnya mereka tidak mendengar perkataan yang sia-sia dan tidak (pula) perkataan dusta.,surga,dalam tidak dengar kata sia sia tidak kata dusta
78,36,"Sebagai pembalasan dari Tuhanmu dan pemberian yang cukup banyak,",surga,bagai balas tuhan beri cukup banyak
78,37,Tuhan Yang memelihara langit dan bumi dan apa yang ada di antara keduanya; Yang Maha Pemurah. Mereka tidak dapat berbicara dengan Dia.,lainnya,tuhan pelihara langit bumi apa ada antara yang maha murah tidak bicara dia
78,38,"Pada hari, ketika ruh dan para malaikat berdiri bershaf-shaf, mereka tidak berkata-kata, kecuali siapa yang telah diberi izin kepadanya oleh Tuhan Yang Maha Pemurah; dan ia mengucapkan kata yang benar.",hisab,hari ruh para malaikat diri bershaf shaf tidak kata kata siapa telah beri izin oleh tuhan maha murah ia ucap kata benar
78,39,"Itulah hari yang pasti terjadi. Maka barangsiapa yang menghendaki, niscaya ia menempuh jalan kembali kepada Tuhannya.",hisab,hari pasti jadi barangsiapa hendak niscaya tempuh jalan kepada tuhan
78,40,"Sesungguhnya Kami telah memperingatkan kepadamu (hai orang kafir) siksa yang dekat, pada hari manusia melihat apa yang telah diperbuat oleh kedua tangannya; dan orang kafir berkata: ""Alangkah baiknya sekiranya aku dahulu adalah tanah"".",hisab,sungguh telah ingat hai orang kafir siksa dekat hari manusia lihat apa telah buat dua tangan orang kafir kata alangkah baik sekira aku adalah tanah
79,1,"Demi (malaikat-malaikat) yang mencabut (nyawa) dengan keras,",kiamat,malaikat malaikat cabut nyawa keras
79,2,"dan (malaikat-malaikat) yang mencabut (nyawa) dengan lemah-lembut,",kiamat,malaikat malaikat cabut nyawa lemah lembut
79,3,"dan (malaikat-malaikat) yang turun dari langit dengan cepat,",kiamat,malaikat malaikat turun langit cepat
79,4,"dan (malaikat-malaikat) yang mendahului dengan kencang,",kiamat,malaikat malaikat dahulu kencang
79,5,dan (malaikat-malaikat) yang mengatur urusan (dunia).,kiamat,malaikat malaikat atur urus dunia
79,6,"(Sesungguhnya kamu akan dibangkitkan) pada hari ketika tiupan pertama menggoncang alam,",kiamat,sungguh kamu bangkit hari tiup pertama menggoncang alam
79,7,tiupan pertama itu diiringi oleh tiupan kedua.,kiamat,tiup pertama iring tiup
79,8,"Hati manusia pada waktu itu sangat takut,",kiamat,hati manusia waktu sangat takut
79,9,Pandangannya tunduk.,kiamat,pandang tunduk
79,10,"(Orang-orang kafir) berkata: ""Apakah sesungguhnya kami benar-benar dikembalikan kepada kehidupan semula?",kiamat,orang orang kafir kata sungguh benar benar kepada hidup mula
79,11,"Apakah (akan dibangkitkan juga) apabila kami telah menjadi tulang belulang yang hancur lumat?""",kiamat,akan bangkit apabila telah jadi tulang belulang hancur lumat
79,12,"Mereka berkata: ""Kalau demikian, itu adalah suatu pengembalian yang merugikan"".",kiamat,kata kalau itu suatu yang rugi
79,13,"Sesungguhnya pengembalian itu hanyalah satu kali tiupan saja,",kiamat,sungguh itu satu kali tiup
79,14,maka dengan serta merta mereka hidup kembali di permukaan bumi.,kiamat,dengan merta hidup di muka bumi
79,15,Sudah sampaikah kepadamu (ya Muhammad) kisah Musa.,lainnya,sampai ya muhammad kisah musa
79,16,Tatkala Tuhannya memanggilnya di lembah suci ialah Lembah Thuwa;,lainnya,tatkala tuhan panggil lembah suci ialah lembah thuwa
79,17,"""Pergilah kamu kepada Fir?aun, sesungguhnya dia telah melampaui batas,",lainnya,pergi kamu fir aun sungguh telah lampau batas
79,18,"dan katakanlah (kepada Fir?aun): ""Adakah keinginan bagimu untuk membersihkan diri (dari kesesatan)"".",lainnya,kata fir aun ingin untuk bersih diri sesat
79,19,"Dan kamu akan kupimpin ke jalan Tuhanmu agar supaya kamu takut kepada-Nya?""",lainnya,kamu pimpin jalan tuhan supaya kamu takut nya
79,20,Lalu Musa memperlihatkan kepadanya mukjizat yang besar.,lainnya,lalu musa lihat mukjizat besar
79,21,Tetapi Fir?aun mendustakan dan mendurhakai.,lainnya,fir aun dusta durhaka
79,22,Kemudian dia berpaling seraya berusaha menantang (Musa).,lainnya,kemudian paling usaha tantang musa
79,23,Maka dia mengumpulkan (pembesar-pembesarnya) lalu berseru memanggil kaumnya.,lainnya,dia kumpul besar besar lalu seru panggil kaum
79,24,"(Seraya) berkata: ""Akulah tuhanmu yang paling tinggi"".",lainnya,kata aku tuhan paling tinggi
79,25,Maka Allah mengazabnya dengan azab di akhirat dan azab di dunia.,neraka,allah azab azab akhirat azab dunia
79,26,Sesungguhnya pada yang demikian itu terdapat pelajaran bagi orang yang takut (kepada Tuhannya).,lainnya,sungguh itu ajar orang yang takut tuhan
79,27,"Apakah kamu lebih sulit penciptaanya ataukah langit? Allah telah membinanya,",lainnya,kamu lebih sulit penciptaanya langit allah bina
79,28,"Dia meninggikan bangunannya lalu menyempurnakannya,",lainnya,tinggi bangun lalu sempurna
79,29,"dan Dia menjadikan malamnya gelap gulita, dan menjadikan siangnya terang benderang.",lainnya,dia jadi malam gelap gulita jadi siang terang benderang
79,30,Dan bumi sesudah itu dihamparkan-Nya.,kiamat,bumi itu hampar nya
79,31,"Darinya Dia pancarkan mata air, dan (ditumbuhkan) tumbuh-tumbuhannya.",surga,dia pancar mata air tumbuh tumbuh tumbuh
79,32,"Dan gunung-gunung dipancangkan-Nya dengan teguh,",lainnya,gunung gunung pancang nya teguh
79,33,(semua itu) untuk kesenanganmu dan untuk binatang-binatang ternakmu.,lainnya,semua untuk senang untuk binatang binatang ternak
79,34,Maka apabila malapetaka yang sangat besar (hari kiamat) telah datang.,kiamat,apabila malapetaka sangat besar hari kiamat datang
79,35,"Pada hari (ketika) manusia teringat akan apa yang telah dikerjakannya,",hisab,hari manusia ingat apa telah kerja
79,36,dan diperlihatkan neraka dengan jelas kepada setiap orang yang melihat.,neraka,lihat neraka jelas tiap orang lihat
79,37,"Adapun orang yang melampaui batas,",lainnya,adapun orang lampau batas
79,38,"dan lebih mengutamakan kehidupan dunia,",lainnya,lebih utama hidup dunia
79,39,maka sesungguhnya nerakalah tempat tinggal(nya).,neraka,sungguh neraka tempat tinggal nya
79,40,"Dan adapun orang-orang yang takut kepada kebesaran Tuhannya dan menahan diri dari keinginan hawa nafsunya,",lainnya,adapun orang orang takut besar tuhan tahan diri ingin hawa nafsu
79,41,maka sesungguhnya surgalah tempat tinggal(nya).,surga,sungguh surga tempat tinggal nya
79,42,"(Orang-orang kafir) bertanya kepadamu (Muhammad) tentang hari kebangkitan, kapankah terjadinya?",kiamat,orang orang kafir tanya muhammad hari bangkit kapan jadi
79,43,Untuk apa kamu perlu menyebutkannya (waktunya),kiamat,apa kamu perlu sebut waktu
79,44,Kepada Tuhanmulah dikembalikan kesudahannya (ketentuan waktunya).,kiamat,tuhan sudah waktu
79,45,Kamu hanyalah pemberi peringatan bagi siapa yang takut kepadanya (hari berbangkit),kiamat,kamu beri ingat siapa takut hari bangkit
79,46,"Pada hari mereka melihat hari berbangkit itu, mereka merasa seakan-akan tidak tinggal (di dunia) melainkan (sebentar saja) di waktu sore atau pagi hari.",kiamat,hari lihat hari bangkit mereka rasa akan tinggal dunia sebentar di waktu sore pagi hari
80,1,"Dia (Muhammad) bermuka masam dan berpaling,",lainnya,muhammad muka masam paling
80,2,karena telah datang seorang buta kepadanya.,lainnya,telah datang orang buta
80,3,"Tahukah kamu barangkali ia ingin membersihkan dirinya (dari dosa),",lainnya,tahu kamu barangkali ingin bersih diri dosa
80,4,"atau dia (ingin) mendapatkan pengajaran, lalu pengajaran itu memberi manfaat kepadanya?",lainnya,dia dapat ajar lalu ajar beri manfaat
80,5,"Adapun orang yang merasa dirinya serba cukup,",lainnya,adapun orang rasa diri serba cukup
80,6,maka engkau (Muhammad) memberi perhatian kepadanya.,lainnya,engkau muhammad beri perhati
80,7,Padahal tidak ada (celaan) atasmu kalau dia tidak membersihkan diri (beriman).,lainnya,padahal ada cela atas kalau tidak bersih diri iman
80,8,"Dan adapun orang yang datang kepadamu dengan bersegera (untuk mendapatkan pengajaran),",lainnya,adapun orang datang dengan segera dapat ajar
80,9,"sedang ia takut kepada (Allah),",lainnya,sedang takut allah
80,10,maka kamu mengabaikannya.,lainnya,kamu abai
80,11,"Sekali-kali jangan (demikian)! Sesungguhnya ajaran-ajaran Tuhan itu adalah suatu peringatan,",lainnya,sekali kali jangan sungguh ajar ajar tuhan adalah suatu ingat
80,12,"maka barangsiapa yang menghendaki, tentulah ia memperhatikannya,",lainnya,barangsiapa hendak ia perhati
80,13,"di dalam kitab-kitab yang dimuliakan,",lainnya,dalam kitab kitab mulia
80,14,"yang ditinggikan lagi disucikan,",lainnya,tinggi suci
80,15,"di tangan para utusan (malaikat),",lainnya,tangan utus malaikat
80,16,yang mulia lagi berbakti.,lainnya,mulia bakti
80,17,Celakalah manusia! Alangkah kufurnya dia!,lainnya,celaka manusia alangkah kufur
80,18,Dari apakah Allah menciptakannya?,lainnya,apakah allah cipta
80,19,"Dari setetes mani, Allah menciptakannya lalu menentukannya.",lainnya,tetes mani allah cipta lalu
80,20,Kemudian Dia memudahkan jalannya.,lainnya,kemudian mudah jalan
80,21,"kemudian Dia mematikannya dan memasukkannya ke dalam kubur,",kiamat,kemudian mati masuk dalam kubur
80,22,"kemudian bila Dia menghendaki, Dia membangkitkannya kembali.",kiamat,kemudian bila hendak bangkit
80,23,"Sekali-kali jangan; manusia itu belum melaksanakan apa yang diperintahkan Allah kepadanya,",lainnya,sekali kali jangan manusia belum laksana apa perintah allah
80,24,maka hendaklah manusia itu memperhatikan makanannya.,lainnya,hendak manusia perhati makan
80,25,"Sesungguhnya Kami benar-benar telah mencurahkan air (dari langit),",lainnya,sungguh benar benar curah air langit
80,26,"kemudian Kami belah bumi dengan sebaik-baiknya,",lainnya,kemudian belah bumi baik baik
80,27,"lalu Kami tumbuhkan biji-bijian di bumi itu,",lainnya,lalu tumbuh biji biji bumi
80,28,"anggur dan sayur-sayuran,",lainnya,anggur sayur sayur
80,29,"zaitun dan pohon kurma,",lainnya,zaitun pohon kurma
80,30,kebun-kebun (yang) rindang,lainnya,kebun kebun rindang
80,31,"dan buah-buahan serta rumput-rumputan,",lainnya,buah buah rumput rumput
80,32,untuk kesenanganmu dan untuk binatang-binatang ternakmu.,lainnya,senang untuk binatang binatang ternak
80,33,"Dan apabila datang suara yang memekakkan (tiupan sangkakala yang kedua),",kiamat,apabila datang suara pekak tiup sangkakala dua
80,34,"pada hari ketika manusia lari dari saudaranya,",kiamat,hari manusia lari saudara
80,35,"dari ibu dan bapaknya,",kiamat,ibu bapak
80,36,dari istri dan anak-anaknya.,kiamat,istri anak anak
80,37,Setiap orang dari mereka pada hari itu mempunyai urusan yang cukup menyibukkannya.,kiamat,tiap orang mereka hari punya urus cukup sibuk
80,38,"Banyak muka pada hari itu berseri-seri,",surga,banyak muka hari seri seri
80,39,"tertawa dan bergembira ria,",surga,tertawa gembira ria
80,40,"dan banyak (pula) muka pada hari itu tertutup debu,",neraka,banyak muka hari tutup debu
80,41,dan ditutup lagi oleh kegelapan.,neraka,tutup oleh gelap
80,42,Mereka itulah orang-orang kafir lagi durhaka.,lainnya,itu orang orang kafir durhaka
81,1,"Apabila matahari digulung,",kiamat,apabila matahari gulung
81,2,"dan apabila bintang-bintang berjatuhan,",kiamat,apabila bintang bintang jatuh
81,3,"dan apabila gunung-gunung dihancurkan,",kiamat,apabila gunung gunung hancur
81,4,dan apabila unta-unta yang bunting ditinggalkan (tidak diperdulikan),kiamat,apabila unta unta bunting tinggal duli
81,5,"dan apabila binatang-binatang liar dikumpulkan,",kiamat,apabila binatang binatang liar kumpul
81,6,dan apabila lautan dijadikan meluap,kiamat,apabila laut jadi luap
81,7,dan apabila ruh-ruh dipertemukan (dengan tubuh),hisab,apabila ruh ruh temu tubuh
81,8,"dan apabila bayi-bayi perempuan yang dikubur hidup-hidup ditanya,",lainnya,apabila bayi bayi perempuan kubur hidup hidup tanya
81,9,"karena dosa apakah dia dibunuh,",lainnya,dosa dia bunuh
81,10,"dan apabila catatan-catatan (amal perbuatan manusia) dibuka,",hisab,apabila catat catat amal buat manusia buka
81,11,"dan apabila langit dilenyapkan,",kiamat,apabila langit lenyap
81,12,"dan apabila neraka Jahim dinyalakan,",neraka,apabila neraka jahim nyala
81,13,"dan apabila surga didekatkan,",surga,apabila surga dekat
81,14,maka tiap-tiap jiwa akan mengetahui apa yang telah dikerjakannya.,hisab,tiap tiap jiwa tahu apa telah kerja
81,15,"Aku bersumpah demi bintang-bintang,",lainnya,aku sumpah bintang bintang
81,16,"yang beredar dan terbenam,",lainnya,edar benam
81,17,"demi malam apabila telah hampir meninggalkan gelapnya,",lainnya,malam apabila hampir tinggal gelap
81,18,"dan demi subuh apabila fajarnya mulai menyingsing,",lainnya,demi subuh apabila fajar mulai singsing
81,19,"sesungguhnya Al Quran itu benar-benar firman (Allah yang dibawa oleh) utusan yang mulia (Jibril),",lainnya,sungguh al quran benar benar firman allah bawa utus mulia jibril
81,20,"yang mempunyai kekuatan, yang mempunyai kedudukan tinggi di sisi Allah yang mempunyai ?Arsy,",lainnya,punya kuat punya duduk tinggi sisi allah punya arsy
81,21,yang disana (di alam malaikat) ditaati dan dipercaya.,lainnya,sana alam malaikat taat percaya
81,22,Dan temanmu (Muhammad) itu bukanlah sekali-kali orang yang gila.,lainnya,teman muhammad bukan sekali kali orang gila
81,23,Dan sesungguhnya Muhammad itu melihat Jibril di ufuk yang terang.,lainnya,sungguh muhammad lihat jibril ufuk terang
81,24,Dan dia (Muhammad) bukanlah orang yang bakhil untuk menerangkan yang ghaib.,lainnya,dia muhammad bukan orang bakhil terang ghaib
81,25,"Dan Al Quran itu bukanlah perkataan syaitan yang terkutuk,",lainnya,al quran bukan kata syaitan kutuk
81,26,maka ke manakah kamu akan pergi?,lainnya,ke mana kamu pergi
81,27,"Al Quran itu tiada lain hanyalah peringatan bagi semesta alam,",lainnya,al quran tiada hanya ingat semesta alam
81,28,(yaitu) bagi siapa di antara kamu yang mau menempuh jalan yang lurus.,lainnya,bagi siapa antara kamu mau tempuh jalan lurus
81,29,"Dan kamu tidak dapat menghendaki (menempuh jalan itu) kecuali apabila dikehendaki Allah, Tuhan semesta alam.",lainnya,kamu dapat hendak tempuh jalan kecuali apabila hendak allah tuhan semesta alam
82,1,"Apabila langit terbelah,",kiamat,apabila langit belah
82,2,"dan apabila bintang-bintang jatuh berserakan,",kiamat,apabila bintang bintang jatuh sera
82,3,"dan apabila lautan menjadikan meluap,",kiamat,apabila laut jadi luap
82,4,"dan apabila kuburan-kuburan dibongkar,",kiamat,apabila kubur kubur bongkar
82,5,maka tiap-tiap jiwa akan mengetahui apa yang telah dikerjakan dan yang dilalaikannya.,hisab,tiap tiap jiwa tahu apa telah kerja yang lalai
82,6,"Hai manusia, apakah yang telah memperdayakan kamu (berbuat durhaka) terhadap Tuhanmu Yang Maha Pemurah.",lainnya,hai manusia daya kamu buat durhaka hadap tuhan yang maha murah
82,7,"Yang telah menciptakan kamu lalu menyempurnakan kejadianmu dan menjadikan (susunan tubuh)mu seimbang,",lainnya,telah cipta kamu lalu sempurna jadi jadi susun tubuh mu imbang
82,8,"dalam bentuk apa saja yang Dia kehendaki, Dia menyusun tubuhmu.",lainnya,bentuk apa yang hendak susun tubuh
82,9,"Bukan hanya durhaka saja, bahkan kamu mendustakan hari pembalasan.",kiamat,bukan durhaka bahkan kamu dusta hari balas
82,10,"Padahal sesungguhnya bagi kamu ada (malaikat-malaikat) yang mengawasi (pekerjaanmu),",lainnya,padahal sungguh kamu malaikat malaikat awas kerja
82,11,"yang mulia (di sisi Allah) dan mencatat (pekerjaan-pekerjaanmu itu),",hisab,mulia sisi allah catat kerja kerja
82,12,mereka mengetahui apa yang kamu kerjakan.,lainnya,tahu apa kamu kerja
82,13,"Sesungguhnya orang-orang yang banyak berbakti benar-benar berada dalam surga yang penuh kenikmatan,",surga,sungguh orang orang banyak bakti benar benar dalam surga penuh nikmat
82,14,dan sesungguhnya orang-orang yang durhaka benar-benar berada dalam neraka.,neraka,sungguh orang orang durhaka benar benar dalam neraka
82,15,Mereka masuk ke dalamnya pada hari pembalasan.,kiamat,masuk dalam hari balas
82,16,Dan mereka sekali-kali tidak dapat keluar dari neraka itu.,neraka,mereka sekali kali dapat keluar neraka
82,17,Tahukah kamu apakah hari pembalasan itu?,kiamat,tahu kamu hari balas
82,18,"Sekali lagi, tahukah kamu apakah hari pembalasan itu?",kiamat,sekali tahu kamu hari balas
82,19,(Yaitu) hari (ketika) seseorang tidak berdaya sedikitpun untuk menolong orang lain. Dan segala urusan pada hari itu dalam kekuasaan Allah.,kiamat,hari orang daya sedikit tolong orang dan segala urus hari dalam kuasa allah
83,1,Kecelakaan besarlah bagi orang-orang yang curang,neraka,celaka besar orang orang curang
83,2,"(yaitu) orang-orang yang apabila menerima takaran dari orang lain mereka minta dipenuhi,",lainnya,orang orang apabila terima takar orang mereka minta penuh
83,3,"dan apabila mereka menakar atau menimbang untuk orang lain, mereka mengurangi.",lainnya,apabila takar timbang orang mereka kurang
83,4,"Tidaklah orang-orang itu menyangka, bahwa sesungguhnya mereka akan dibangkitkan,",kiamat,orang orang sangka sungguh akan bangkit
83,5,"pada suatu hari yang besar,",kiamat,suatu hari besar
83,6,(yaitu) hari (ketika) manusia bangkit menghadap Tuhan semesta alam?,kiamat,hari manusia bangkit hadap tuhan semesta alam
83,7,"Sekali-kali jangan curang, karena sesungguhnya catatan orang yang durhaka tersimpan dalam sijjin.",hisab,sekali kali jangan curang sungguh catat orang durhaka simpan sijjin
83,8,Tahukah kamu apakah sijjin itu?,lainnya,tahu kamu sijjin
83,9,(Ialah) kitab yang berisi catatan (amal),hisab,ialah kitab isi catat amal
83,10,"Kecelakaan yang besarlah pada hari itu bagi orang-orang yang mendustakan,",neraka,celaka besar hari bagi orang orang dusta
83,11,(yaitu) orang-orang yang mendustakan hari pembalasan.,kiamat,orang orang dusta hari balas
83,12,"Dan tidak ada yang mendustakan hari pembalasan itu melainkan setiap orang yang melampaui batas lagi berdosa,",kiamat,tidak dusta hari balas lain tiap orang yang lampau batas dosa
83,13,"yang apabila dibacakan kepadanya ayat-ayat Kami, ia berkata: ""Itu adalah dongengan orang-orang yang dahulu""",lainnya,apabila baca ayat ayat ia kata adalah dongeng orang orang dahulu
83,14,"Sekali-kali tidak (demikian), sebenarnya apa yang selalu mereka usahakan itu menutupi hati mereka.",lainnya,sekali kali demikian benar apa selalu usaha tutup hati
